,mutation_id,file,confidence,mutation_point_x,mutation_point_y,rel_intensity_before,rel_intensity_after
62,63,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN63.npy,0.4660691,15.82595647226463,15.373786951236744,0.21636568099870415,0.17087692022323608
63,64,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN64.npy,0.17748839,15.056885623747595,14.836865065446377,0.2706365853422141,0.19785147905349731
64,65,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN65.npy,0.15251186,12.710374729169347,8.354531715422745,0.17808568809295738,0.27478495240211487
65,66,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN66.npy,0.13727447,11.983625120298525,6.671343746883046,0.21190352599972587,0.16659890115261078
66,67,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN67.npy,0.12880094,13.962717505882221,11.925136624265598,0.1404219585379902,0.14549177885055542
67,68,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN68.npy,0.07020673,15.513575773211866,19.634825791673634,0.17689152475422013,0.14650769531726837
68,69,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN69.npy,0.02231703,17.627723602955886,16.085561608388076,0.18600357995743708,0.1477794200181961
69,70,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN70.npy,0.02695392,18.16969976781979,21.320872848454908,0.24200250910704355,0.16062726080417633
70,71,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN71.npy,0.026590064,12.316322980971188,8.943805460846605,0.20631020702376826,0.24251201748847961
71,72,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN72.npy,0.018436402,12.75144605923394,9.411285301566284,0.16525246887952114,0.21320980787277222
72,73,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN73.npy,0.009449959,11.324361433478103,7.221508991226408,0.3358990055866784,0.10925822705030441
73,74,runs/log06-12_18-50_1_C_C_GC/individual_logs/data/ID0/GEN74.npy,-0.050014585,11.629667953063118,9.910054675820703,0.21543961679795254,0.2741604447364807
