cte_max_before,cte_max_after,steering_l2_before,steering_l2_after,time,mutation type,mutation method,episode
0.3643,0.4975,0.030182372816094982,0.051449132678272724,03-22-22-31,RANDOM_FSC,random,2
0.4975,0.7679,0.051449132678272724,0.09765340708279675,03-22-22-31,RANDOM_FSC,random,3
0.8776,1.3723,0.10994047799589922,0.24024664590666261,03-22-22-31,RANDOM_FSC,random,4
0.3541,0.283,0.014256124791820528,0.007132878473754421,03-22-22-31,RANDOM_FSC,random,5
0.6486,0.5466,0.06337163345029626,0.02927331958095412,03-22-22-31,RANDOM_FSC,random,6
0.7929,0.7815,0.03863605403841557,0.032950408530603464,03-22-22-31,RANDOM_FSC,random,7
0.7398,0.3349,0.07991931284486416,0.02766171023099548,03-22-22-31,RANDOM_FSC,random,8
0.2885,0.283,0.0071806042712563006,0.004834987104601648,03-22-22-31,RANDOM_FSC,random,9
0.3462,0.3152,0.027730474622870014,0.023196765141032822,03-22-22-31,RANDOM_FSC,random,10
0.8473,0.7751,0.03707590500501016,0.029357400937773337,03-22-22-31,RANDOM_FSC,random,11
0.2951,0.3083,0.006262060569886153,0.004333198486520773,03-22-22-31,RANDOM_FSC,random,12
0.3346,0.3963,0.01815740311132557,0.03800836188809073,03-22-22-31,RANDOM_FSC,random,13
0.29,0.2945,0.012842713952362628,0.012105400989496333,03-22-22-31,RANDOM_FSC,random,14
0.3022,0.4151,0.011604665812196307,0.020492976424856823,03-22-22-31,RANDOM_FSC,random,15
0.2966,0.4563,0.008783727070078655,0.05865161446389335,03-22-22-31,RANDOM_FSC,random,16
0.3086,0.2769,0.014562417498556052,0.006181802754857157,03-22-22-31,RANDOM_FSC,random,17
0.3239,0.3887,0.014478761580016602,0.02034210356552764,03-22-22-31,RANDOM_FSC,random,18
0.4427,0.8242,0.05989231323304782,0.11290321154876305,03-22-22-31,RANDOM_FSC,random,19
0.4565,0.308,0.025320468987505243,0.01224738639684707,03-22-22-31,RANDOM_FSC,random,20
0.8293,1.1394,0.11304458641703218,0.13364385164579992,03-22-22-31,RANDOM_FSC,random,21
0.4974,0.4512,0.05442515772516272,0.04578409171378162,03-22-22-31,RANDOM_FSC,random,22
0.652,0.5687,0.05097890255102404,0.030733913756005312,03-22-22-31,RANDOM_FSC,random,23
0.4074,0.3339,0.025073336158646427,0.011604571524601481,03-22-22-31,RANDOM_FSC,random,24
0.3418,0.3722,0.017440345353555074,0.028295464584537914,03-22-22-31,RANDOM_FSC,random,25
0.484,0.3643,0.033712447948928505,0.042898658197343335,03-22-22-31,RANDOM_FSC,random,26
0.3142,0.9134,0.02966990352465942,0.07843443115057837,03-22-22-31,RANDOM_FSC,random,27
0.3201,0.3046,0.021498013488799816,0.016122234913648042,03-22-22-31,RANDOM_FSC,random,28
0.1984,0.2181,0.008773492568384706,0.016454945480494754,03-22-22-31,RANDOM_FSC,random,29
0.3487,0.3568,0.025077276603083145,0.027188176953603364,03-22-22-31,RANDOM_FSC,random,30
0.291,0.2882,0.009542825263550447,0.008804227117502436,03-22-22-31,RANDOM_FSC,random,31
0.9535,0.9461,0.1431187968432326,0.14357084668672757,03-22-22-31,RANDOM_FSC,random,32
0.3149,0.3228,0.012654661687141555,0.011352159503242433,03-22-22-31,RANDOM_FSC,random,33
0.3228,0.3095,0.011352159503242433,0.010827940084995115,03-22-22-31,RANDOM_FSC,random,34
0.2224,0.218,0.016463526071636914,0.016468945113699417,03-22-22-31,RANDOM_FSC,random,35
0.3577,0.3637,0.02179427536259804,0.022764827579487657,03-22-22-31,RANDOM_FSC,random,36
0.2906,0.2902,0.00867619808992351,0.008469020272231304,03-22-22-31,RANDOM_FSC,random,37
0.2902,0.3106,0.008469020272231304,0.008920269060908322,03-22-22-31,RANDOM_FSC,random,38
0.4012,0.5607,0.046445279768712856,0.07421329437242681,03-22-23-14,XAI_FSC,random,0
0.4727,0.4056,0.029717815417270328,0.018396592814521318,03-22-23-14,XAI_FSC,random,1
0.5812,0.3473,0.043388490238978464,0.025909523426236626,03-22-23-14,XAI_FSC,random,2
0.8994,1.3884,0.11382805415144225,0.22110008805946124,03-22-23-14,XAI_FSC,random,3
1.2072,0.8043,0.2159518589351174,0.10282379923081879,03-22-23-14,XAI_FSC,random,4
0.5012,0.7776,0.05717921460919207,0.10134965720788752,03-22-23-14,XAI_FSC,random,5
1.3664,1.5818,0.21859798505772543,0.27824482024370606,03-22-23-14,XAI_FSC,random,6
0.7678,1.0448,0.097140122071413,0.17835077247013806,03-22-23-14,XAI_FSC,random,7
0.4548,0.4044,0.04165809984393833,0.04633818379488751,03-22-23-14,XAI_FSC,random,8
0.6676,0.5509,0.06362592714790315,0.03157766786964709,03-22-23-14,XAI_FSC,random,9
0.8187,0.7631,0.05101202280499306,0.03609213827280878,03-22-23-14,XAI_FSC,random,10
0.3634,0.2809,0.033722360227929266,0.02066390023976887,03-22-23-14,XAI_FSC,random,11
1.4493,1.4499,0.2565851337175249,0.2630138947736862,03-22-23-14,XAI_FSC,random,12
0.3185,0.3109,0.016403999225714682,0.016565580440981477,03-22-23-14,XAI_FSC,random,13
1.4647,1.3938,0.26030736020637374,0.2547876417504569,03-22-23-14,XAI_FSC,random,14
1.3938,1.411,0.2547876417504569,0.2619056249866398,03-22-23-14,XAI_FSC,random,15
1.5671,1.5464,0.2796981544379032,0.27540692919400284,03-22-23-14,XAI_FSC,random,16
0.395,0.3768,0.045202410493913804,0.044286287823742394,03-22-23-14,XAI_FSC,random,17
1.403,1.3657,0.274370684199939,0.2819581484049186,03-22-23-14,XAI_FSC,random,18
0.5249,0.4608,0.025243791053559006,0.022645543437278735,03-22-23-14,XAI_FSC,random,19
0.9727,0.9983,0.1609533674415109,0.16119952503871132,03-22-23-14,XAI_FSC,random,20
1.5562,1.5323,0.2701016926156852,0.26628539370335086,03-22-23-14,XAI_FSC,random,21
0.9848,0.9805,0.14870939989131637,0.1507204722938041,03-22-23-14,XAI_FSC,random,22
1.0959,1.1473,0.1741525906447533,0.19205878484933225,03-22-23-14,XAI_FSC,random,23
0.3601,0.3781,0.02208564420720648,0.02277180858318559,03-22-23-14,XAI_FSC,random,24
1.0034,0.9872,0.15694785577740927,0.16373960881557967,03-22-23-14,XAI_FSC,random,25
1.3682,1.4043,0.2559300555879912,0.2623592165925231,03-22-23-14,XAI_FSC,random,26
0.9658,0.98,0.1472090217207249,0.15521964750514886,03-22-23-14,XAI_FSC,random,27
1.3603,1.3623,0.2555838050678078,0.2522011823544916,03-22-23-14,XAI_FSC,random,28
1.3623,1.4437,0.2522011823544916,0.2748099570638385,03-22-23-14,XAI_FSC,random,29
