Time,episode id,is success,seed,method_combi
03-24-09-29,38,0,49,RANDOM random
03-24-10-11,6,0,49,XAI random FSC
03-24-10-19,5,0,49,XAI attention_same FSC
03-24-10-27,5,0,49,XAI attention_opposite FSC
03-24-10-34,8,0,50,RANDOM random
03-24-10-44,2,0,50,XAI random FSC
03-24-10-48,1,0,50,XAI attention_same FSC
03-24-10-51,3,0,50,XAI attention_opposite FSC
03-24-10-56,6,0,51,RANDOM random
03-24-11-03,2,0,51,XAI random FSC
03-24-11-07,2,0,51,XAI attention_same FSC
03-24-11-11,1,0,51,XAI attention_opposite FSC
03-24-11-14,6,0,52,RANDOM random
03-24-11-22,3,0,52,XAI random FSC
03-24-11-27,9,0,52,XAI attention_same FSC
03-24-11-39,9,0,52,XAI attention_opposite FSC
03-24-11-51,7,0,53,RANDOM random
03-24-12-00,6,0,53,XAI random FSC
03-24-12-08,10,0,53,XAI attention_same FSC
03-24-12-22,2,0,53,XAI attention_opposite FSC
03-24-12-25,38,0,54,RANDOM random
03-24-13-07,10,0,54,XAI random FSC
03-24-13-20,12,0,54,XAI attention_same FSC
03-24-13-36,19,0,54,XAI attention_opposite FSC
03-24-13-59,8,0,55,RANDOM random
03-24-14-10,4,0,55,XAI random FSC
03-24-14-16,8,0,55,XAI attention_same FSC
03-24-14-27,8,0,55,XAI attention_opposite FSC
03-24-14-38,39,1,56,RANDOM random
03-24-15-21,4,0,56,XAI random FSC
03-24-15-28,7,0,56,XAI attention_same FSC
03-24-15-38,39,1,56,XAI attention_opposite FSC
03-24-16-26,2,0,57,RANDOM random
03-24-16-30,7,0,57,XAI random FSC
03-24-16-40,2,0,57,XAI attention_same FSC
03-24-16-44,14,0,57,XAI attention_opposite FSC
03-24-17-02,21,0,58,RANDOM random
03-24-17-27,11,0,58,XAI random FSC
03-24-17-41,7,0,58,XAI attention_same FSC
03-24-17-51,16,0,58,XAI attention_opposite FSC
03-24-18-11,4,0,59,RANDOM random
03-24-18-17,10,0,59,XAI random FSC
03-24-18-31,3,0,59,XAI attention_same FSC
03-24-18-36,3,0,59,XAI attention_opposite FSC
03-24-18-41,12,0,60,RANDOM random
03-24-18-55,7,0,60,XAI random FSC
03-24-19-05,8,0,60,XAI attention_same FSC
03-24-19-16,15,0,60,XAI attention_opposite FSC
03-28-09-48,2,0,1,XAI random GC
03-28-09-52,3,0,1,XAI attention_same GC
03-28-09-56,9,0,1,XAI attention_opposite GC
03-28-10-07,8,0,2,XAI random GC
03-28-10-17,6,0,2,XAI attention_same GC
03-28-10-25,7,0,2,XAI attention_opposite GC
03-28-10-33,39,1,3,XAI random GC
03-28-11-16,5,0,3,XAI attention_same GC
03-28-11-23,1,0,3,XAI attention_opposite GC
03-28-11-25,2,0,4,XAI random GC
03-28-11-29,7,0,4,XAI attention_same GC
03-28-11-38,6,0,4,XAI attention_opposite GC
03-28-11-46,18,0,5,XAI random GC
03-28-12-06,8,0,5,XAI attention_same GC
03-28-12-16,5,0,5,XAI attention_opposite GC
03-28-12-22,3,0,6,XAI random GC
03-28-12-27,4,0,6,XAI attention_same GC
03-28-12-32,3,0,6,XAI attention_opposite GC
03-28-12-36,18,0,7,XAI random GC
03-28-12-57,39,1,7,XAI attention_same GC
03-28-13-39,39,1,7,XAI attention_opposite GC
03-28-14-22,5,0,8,XAI random GC
03-28-14-28,5,0,8,XAI attention_same GC
03-28-14-35,5,0,8,XAI attention_opposite GC
03-28-14-41,2,0,9,XAI random GC
03-28-14-45,2,0,9,XAI attention_same GC
03-28-14-48,3,0,9,XAI attention_opposite GC
03-28-14-53,2,0,10,XAI random GC
03-28-14-56,3,0,10,XAI attention_same GC
03-28-15-00,3,0,10,XAI attention_opposite GC
03-28-15-05,9,0,11,XAI random GC
03-28-15-15,39,1,11,XAI attention_same GC
03-28-16-00,39,1,11,XAI attention_opposite GC
03-28-16-44,2,0,12,XAI random GC
03-28-16-47,7,0,12,XAI attention_same GC
03-28-16-56,4,0,12,XAI attention_opposite GC
03-28-17-01,39,1,13,XAI random GC
03-28-17-44,39,1,13,XAI attention_same GC
03-28-18-28,39,1,13,XAI attention_opposite GC
03-28-19-11,11,0,14,XAI random GC
03-28-19-24,4,0,14,XAI attention_same GC
03-28-19-29,9,0,14,XAI attention_opposite GC
03-28-19-40,1,0,15,XAI random GC
03-28-19-42,1,0,15,XAI attention_same GC
03-28-19-44,9,0,15,XAI attention_opposite GC
03-28-19-55,14,0,16,XAI random GC
03-28-20-11,6,0,16,XAI attention_same GC
03-28-20-19,8,0,16,XAI attention_opposite GC
03-28-20-28,10,0,17,XAI random GC
03-28-20-40,13,0,17,XAI attention_same GC
03-28-20-55,9,0,17,XAI attention_opposite GC
03-28-21-06,1,0,18,XAI random GC
03-28-21-09,2,0,18,XAI attention_same GC
03-28-21-12,1,0,18,XAI attention_opposite GC
03-28-21-14,0,0,19,XAI random GC
03-28-21-15,1,0,19,XAI attention_same GC
