,Time,episode id,is success,seed,method_combi
380,03-29-07-24,8,0,47,XAI attention_opposite GC
383,03-29-07-51,14,0,48,XAI attention_opposite GC
386,03-29-08-32,7,0,49,XAI attention_opposite GC
392,03-29-09-16,6,0,51,XAI attention_opposite GC
395,03-29-09-37,13,0,52,XAI attention_opposite GC
398,03-29-10-05,2,0,53,XAI attention_opposite GC
401,03-29-10-38,8,0,54,XAI attention_opposite GC
404,03-29-11-04,8,0,55,XAI attention_opposite GC
407,03-29-11-20,2,0,56,XAI attention_opposite GC
410,03-29-11-40,4,0,57,XAI attention_opposite GC
413,03-29-12-15,13,0,58,XAI attention_opposite GC
416,03-29-12-43,2,0,59,XAI attention_opposite GC
419,03-29-13-07,6,0,60,XAI attention_opposite GC
422,03-30-15-52,3,0,1,XAI attention_opposite IG
425,03-30-16-10,6,0,2,XAI attention_opposite IG
428,03-30-16-23,1,0,3,XAI attention_opposite IG
431,03-30-16-40,3,0,4,XAI attention_opposite IG
434,03-30-16-49,5,0,5,XAI attention_opposite IG
437,03-30-17-12,5,0,6,XAI attention_opposite IG
440,03-30-18-48,31,0,7,XAI attention_opposite IG
443,03-30-20-25,32,0,8,XAI attention_opposite IG
446,03-30-21-13,8,0,9,XAI attention_opposite IG
449,03-30-21-39,5,0,10,XAI attention_opposite IG
452,03-30-21-59,39,1,11,XAI attention_opposite IG
455,03-30-22-59,13,0,12,XAI attention_opposite IG
458,03-31-00-43,39,1,13,XAI attention_opposite IG
461,03-31-01-43,4,0,14,XAI attention_opposite IG
464,03-31-01-52,1,0,15,XAI attention_opposite IG
467,03-31-03-13,9,0,16,XAI attention_opposite IG
470,03-31-03-32,8,0,17,XAI attention_opposite IG
473,03-31-03-49,1,0,18,XAI attention_opposite IG
479,03-31-05-10,19,0,20,XAI attention_opposite IG
482,03-31-05-48,2,0,21,XAI attention_opposite IG
485,03-31-06-01,1,0,22,XAI attention_opposite IG
491,03-31-07-18,4,0,24,XAI attention_opposite IG
494,03-31-07-34,6,0,25,XAI attention_opposite IG
497,03-31-08-07,7,0,26,XAI attention_opposite IG
500,03-31-09-06,23,0,27,XAI attention_opposite IG
503,03-31-09-42,16,0,28,XAI attention_opposite IG
506,03-31-10-25,36,0,29,XAI attention_opposite IG
509,03-31-11-25,2,0,30,XAI attention_opposite IG
